<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 3468832465
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(2.3%)
	1024	96.9%	(9.2%)
	2048	87.7%	(30.7%)
	4096	57%	(40.3%)
	8192	16.7%	(16.7%)
339000	mean = 62745.7	max = 172520
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(2.3%)
	1024	96.9%	(8.7%)
	2048	88.2%	(29.4%)
	4096	58.8%	(41.8%)
	8192	17%	(17%)
340000	mean = 62213.1	max = 175520
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.1%)
	256	99.7%	(0.5%)
	512	99.2%	(1.4%)
	1024	97.8%	(7.6%)
	2048	90.2%	(30.4%)
	4096	59.8%	(44.1%)
	8192	15.7%	(15.7%)
341000	mean = 62576.1	max = 174272
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1.4%)
	1024	98%	(9.6%)
	2048	88.4%	(27.3%)
	4096	61.1%	(45.1%)
	8192	16%	(16%)
342000	mean = 62975.5	max = 176972
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.1%)
	512	99.5%	(1.6%)
	1024	97.9%	(7.7%)
	2048	90.2%	(30.5%)
	4096	59.7%	(43.1%)
	8192	16.6%	(16.6%)
343000	mean = 63454.6	max = 175080
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.7%)
	1024	97.8%	(6.8%)
	2048	91%	(30.9%)
	4096	60.1%	(44.1%)
	8192	16%	(16%)
344000	mean = 63273.8	max = 175148
	128	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(2%)
	1024	97.4%	(7.5%)
	2048	89.9%	(29.6%)
	4096	60.3%	(42.9%)
	8192	17.4%	(17.4%)
345000	mean = 62687.7	max = 172064
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(0.7%)
	512	98.8%	(1.3%)
	1024	97.5%	(8.9%)
	2048	88.6%	(28%)
	4096	60.6%	(42.6%)
	8192	18%	(18%)
346000	mean = 62556	max = 174792
	256	100%	(0.1%)
	512	99.9%	(2.3%)
	1024	97.6%	(7.3%)
	2048	90.3%	(30%)
	4096	60.3%	(44.5%)
	8192	15.8%	(15.8%)
347000	mean = 60631.7	max = 174752
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.7%)
	1024	97.6%	(8.9%)
	2048	88.7%	(29.2%)
	4096	59.5%	(44%)
	8192	15.5%	(15.5%)
348000	mean = 61176.1	max = 174932
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.4%)
	1024	98.3%	(9.4%)
	2048	88.9%	(29.8%)
	4096	59.1%	(44.9%)
	8192	14.2%	(14.2%)
349000	mean = 63454	max = 175428
	256	100%	(0.2%)
	512	99.8%	(1.6%)
	1024	98.2%	(7.3%)
	2048	90.9%	(31.4%)
	4096	59.5%	(42.5%)
	8192	17%	(17%)
350000	mean = 63706.3	max = 174868
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.2%)
	512	99.5%	(1.9%)
	1024	97.6%	(7.8%)
	2048	89.8%	(29.3%)
	4096	60.5%	(42%)
	8192	18.5%	(18.5%)
351000	mean = 63222.4	max = 175348
	32	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(2%)
	1024	97.4%	(6.6%)
	2048	90.8%	(30.3%)
	4096	60.5%	(43.3%)
	8192	17.2%	(17.2%)
352000	mean = 62204.3	max = 176436
	64	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(2.5%)
	1024	96.8%	(8.7%)
	2048	88.1%	(30.8%)
	4096	57.3%	(41.2%)
	8192	16.1%	(16.1%)
353000	mean = 64540.1	max = 176260
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(1.6%)
	1024	97.7%	(5.8%)
	2048	91.9%	(30.7%)
	4096	61.2%	(41.9%)
	8192	19.3%	(19.3%)
354000	mean = 63658.9	max = 176988
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.9%)
	1024	97.7%	(7.2%)
	2048	90.5%	(29%)
	4096	61.5%	(43.7%)
	8192	17.8%	(17.8%)
355000	mean = 63982.2	max = 175512
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(2.5%)
	1024	97%	(6.2%)
	2048	90.8%	(28.5%)
	4096	62.3%	(45.3%)
	8192	17%	(17%)
356000	mean = 63630.6	max = 176536
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.7%)
	512	99%	(1.7%)
	1024	97.3%	(6.2%)
	2048	91.1%	(31.8%)
	4096	59.3%	(41.2%)
	8192	18.1%	(18.1%)
357000	mean = 65015	max = 175312
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.5%)
	1024	97.9%	(7.1%)
	2048	90.8%	(28.4%)
	4096	62.4%	(43.5%)
	8192	18.9%	(18.9%)
358000	mean = 61978.2	max = 176544
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.6%)
	512	99%	(1.6%)
	1024	97.4%	(8.6%)
	2048	88.8%	(30.6%)
	4096	58.2%	(41.9%)
	8192	16.3%	(16.3%)
359000	mean = 61813.1	max = 173308
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(2.3%)
	1024	97.3%	(8.2%)
	2048	89.1%	(30.8%)
	4096	58.3%	(42.2%)
	8192	16.1%	(16.1%)
360000	mean = 64211.6	max = 177380
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.3%)
	512	99.2%	(1.3%)
	1024	97.9%	(6.6%)
	2048	91.3%	(27.7%)
	4096	63.6%	(47%)
	8192	16.6%	(16.6%)
361000	mean = 63935.1	max = 176748
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(1.8%)
	1024	97.5%	(6.8%)
	2048	90.7%	(28.8%)
	4096	61.9%	(43.7%)
	8192	18.2%	(18.2%)
362000	mean = 63022.2	max = 175168
	64	100%	(0.3%)
	256	99.7%	(0.3%)
	512	99.4%	(2.4%)
	1024	97%	(7.8%)
	2048	89.2%	(29.9%)
	4096	59.3%	(41.1%)
	8192	18.2%	(18.2%)
363000	mean = 62175.8	max = 175240
	256	100%	(0.9%)
	512	99.1%	(2.3%)
	1024	96.8%	(6.6%)
	2048	90.2%	(30.3%)
	4096	59.9%	(43.5%)
	8192	16.4%	(16.4%)
364000	mean = 62739.4	max = 173440
	256	100%	(0.5%)
	512	99.5%	(1.9%)
	1024	97.6%	(8%)
	2048	89.6%	(29.1%)
	4096	60.5%	(43.9%)
	8192	16.6%	(16.6%)
365000	mean = 64594.8	max = 233468
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1.8%)
	1024	97.4%	(5.7%)
	2048	91.7%	(31.7%)
	4096	60%	(41.2%)
	8192	18.8%	(18.7%)
	16384	0.1%	(0.1%)
366000	mean = 62933.1	max = 176516
	256	100%	(0.6%)
	512	99.4%	(1.2%)
	1024	98.2%	(8.1%)
	2048	90.1%	(30.8%)
	4096	59.3%	(41.5%)
	8192	17.8%	(17.8%)
367000	mean = 65642	max = 177420
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.9%)
	512	98.9%	(2.4%)
	1024	96.5%	(7%)
	2048	89.5%	(27.8%)
	4096	61.7%	(41%)
	8192	20.7%	(20.7%)
368000	mean = 62998.1	max = 176500
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.3%)
	256	99.5%	(0.3%)
	512	99.2%	(1.1%)
	1024	98.1%	(8.6%)
	2048	89.5%	(33.1%)
	4096	56.4%	(37.8%)
	8192	18.6%	(18.6%)
369000	mean = 66365.3	max = 176888
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.5%)
	512	99.1%	(2%)
	1024	97.1%	(6.5%)
	2048	90.6%	(25.8%)
	4096	64.8%	(45.9%)
	8192	18.9%	(18.9%)
370000	mean = 65578.5	max = 182004
	256	100%	(0.1%)
	512	99.9%	(1.4%)
	1024	98.5%	(6.3%)
	2048	92.2%	(29.9%)
	4096	62.3%	(44.9%)
	8192	17.4%	(17.4%)
371000	mean = 64583.7	max = 174684
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(2.1%)
	1024	97.2%	(8.5%)
	2048	88.7%	(29.4%)
	4096	59.3%	(39.3%)
	8192	20%	(20%)
372000	mean = 63505.4	max = 176440
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(1.6%)
	1024	97.7%	(7.3%)
	2048	90.4%	(27.1%)
	4096	63.3%	(46.6%)
	8192	16.7%	(16.7%)
373000	mean = 62684	max = 174840
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.1%)
	256	99.7%	(0.4%)
	512	99.3%	(2.1%)
	1024	97.2%	(6.9%)
	2048	90.3%	(29.2%)
	4096	61.1%	(45.1%)
	8192	16%	(16%)
374000	mean = 64795.8	max = 175672
	128	100%	(0.3%)
	256	99.7%	(0.1%)
	512	99.6%	(1.9%)
	1024	97.7%	(6.1%)
	2048	91.6%	(30.9%)
	4096	60.7%	(41.4%)
	8192	19.3%	(19.3%)
375000	mean = 62147.3	max = 174960
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(0.4%)
	512	98.9%	(3%)
	1024	95.9%	(8.2%)
	2048	87.7%	(28.3%)
	4096	59.4%	(42.3%)
	8192	17.1%	(17.1%)
376000	mean = 61850.3	max = 177076
	128	100%	(0.2%)
	256	99.8%	(0.8%)
	512	99%	(0.9%)
	1024	98.1%	(9%)
	2048	89.1%	(31.6%)
	4096	57.5%	(40.4%)
	8192	17.1%	(17.1%)
377000	mean = 64772.6	max = 176556
	128	100%	(0.3%)
	256	99.7%	(0.6%)
	512	99.1%	(2.2%)
	1024	96.9%	(8%)
	2048	88.9%	(28.1%)
	4096	60.8%	(41.3%)
	8192	19.5%	(19.5%)
378000	mean = 60343.4	max = 172716
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(0.6%)
	512	98.8%	(2.7%)
	1024	96.1%	(6.9%)
	2048	89.2%	(31.4%)
	4096	57.8%	(43.1%)
	8192	14.7%	(14.7%)
379000	mean = 64228.4	max = 173500
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.3%)
	256	99.5%	(0.2%)
	512	99.3%	(2%)
	1024	97.3%	(6.7%)
	2048	90.6%	(31.8%)
	4096	58.8%	(39.8%)
	8192	19%	(19%)
380000	mean = 64940.4	max = 174880
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.8%)
	512	99%	(1.8%)
	1024	97.2%	(7.1%)
	2048	90.1%	(30.9%)
	4096	59.2%	(39.1%)
	8192	20.1%	(20.1%)
381000	mean = 64268.5	max = 175432
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(1.5%)
	1024	97.8%	(8.4%)
	2048	89.4%	(28.6%)
	4096	60.8%	(41.7%)
	8192	19.1%	(19.1%)
382000	mean = 65682	max = 174564
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.1%)
	1024	97.3%	(7.2%)
	2048	90.1%	(28.4%)
	4096	61.7%	(40.7%)
	8192	21%	(21%)
383000	mean = 66521.5	max = 174932
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.5%)
	512	99.3%	(1.9%)
	1024	97.4%	(7.3%)
	2048	90.1%	(27.8%)
	4096	62.3%	(41.2%)
	8192	21.1%	(21.1%)
384000	mean = 64504.5	max = 174532
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(0.1%)
	512	99.5%	(1.3%)
	1024	98.2%	(6.7%)
	2048	91.5%	(29.3%)
	4096	62.2%	(43.7%)
	8192	18.5%	(18.5%)
385000	mean = 65439	max = 176796
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.6%)
	512	99%	(1.9%)
	1024	97.1%	(7%)
	2048	90.1%	(28.3%)
	4096	61.8%	(41.8%)
	8192	20%	(20%)
386000	mean = 65788	max = 174840
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(1.7%)
	1024	97.6%	(6.7%)
	2048	90.9%	(29.5%)
	4096	61.4%	(41.1%)
	8192	20.3%	(20.3%)
387000	mean = 66119.8	max = 177000
	128	100%	(0.1%)
	256	99.9%	(0.4%)
	512	99.5%	(1.9%)
	1024	97.6%	(6.5%)
	2048	91.1%	(28.6%)
	4096	62.5%	(44.1%)
	8192	18.4%	(18.4%)
388000	mean = 65797.7	max = 175068
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1%)
	1024	98.5%	(6.5%)
	2048	92%	(31.2%)
	4096	60.8%	(40.1%)
	8192	20.7%	(20.7%)
389000	mean = 66770.9	max = 176544
	128	100%	(0.5%)
	256	99.5%	(0.2%)
	512	99.3%	(1.3%)
	1024	98%	(6.9%)
	2048	91.1%	(28.9%)
	4096	62.2%	(41.9%)
	8192	20.3%	(20.3%)
390000	mean = 63258.4	max = 176604
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(1.8%)
	1024	97.4%	(8.3%)
	2048	89.1%	(29.5%)
	4096	59.6%	(41.7%)
	8192	17.9%	(17.9%)
391000	mean = 64860.2	max = 173512
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.7%)
	1024	97.8%	(8.1%)
	2048	89.7%	(29.7%)
	4096	60%	(39.3%)
	8192	20.7%	(20.7%)
392000	mean = 67235.8	max = 214124
	128	100%	(0.3%)
	256	99.7%	(0.4%)
	512	99.3%	(1.2%)
	1024	98.1%	(6.3%)
	2048	91.8%	(28.4%)
	4096	63.4%	(43.4%)
	8192	20%	(19.9%)
	16384	0.1%	(0.1%)
393000	mean = 65527.6	max = 176608
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.3%)
	512	99.4%	(1.6%)
	1024	97.8%	(6.8%)
	2048	91%	(29.6%)
	4096	61.4%	(42.7%)
	8192	18.7%	(18.7%)
394000	mean = 63134.9	max = 174708
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(1%)
	512	98.5%	(1.8%)
	1024	96.7%	(6.1%)
	2048	90.6%	(31.7%)
	4096	58.9%	(42.2%)
	8192	16.7%	(16.7%)
395000	mean = 66561.1	max = 247628
	128	100%	(0.3%)
	256	99.7%	(0.5%)
	512	99.2%	(2.2%)
	1024	97%	(6.9%)
	2048	90.1%	(28.4%)
	4096	61.7%	(40.4%)
	8192	21.3%	(21.2%)
	16384	0.1%	(0.1%)
396000	mean = 64703.2	max = 173412
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(1.7%)
	1024	97.9%	(7.1%)
	2048	90.8%	(28.9%)
	4096	61.9%	(43.6%)
	8192	18.3%	(18.3%)
397000	mean = 61478.4	max = 176768
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(1.1%)
	512	98%	(2.7%)
	1024	95.3%	(8%)
	2048	87.3%	(28.9%)
	4096	58.4%	(40%)
	8192	18.4%	(18.4%)
398000	mean = 62864	max = 175932
	64	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(1.9%)
	1024	97.4%	(7.3%)
	2048	90.1%	(29.8%)
	4096	60.3%	(42.8%)
	8192	17.5%	(17.5%)
399000	mean = 67143.7	max = 175448
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.5%)
	1024	97.8%	(6.5%)
	2048	91.3%	(28%)
	4096	63.3%	(43.3%)
	8192	20%	(20%)
400000	mean = 66245.9	max = 176288
	32	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.5%)
	512	99.2%	(2.1%)
	1024	97.1%	(6.5%)
	2048	90.6%	(27.3%)
	4096	63.3%	(43.4%)
	8192	19.9%	(19.9%)
401000	mean = 65686	max = 174912
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.6%)
	1024	98%	(7.7%)
	2048	90.3%	(28.3%)
	4096	62%	(42.4%)
	8192	19.6%	(19.6%)
402000	mean = 64540.7	max = 175320
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.1%)
	256	99.6%	(0.5%)
	512	99.1%	(1.8%)
	1024	97.3%	(6.9%)
	2048	90.4%	(28.6%)
	4096	61.8%	(43.8%)
	8192	18%	(18%)
403000	mean = 68367	max = 173372
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(1.6%)
	1024	97.7%	(7.3%)
	2048	90.4%	(25.8%)
	4096	64.6%	(42.3%)
	8192	22.3%	(22.3%)
404000	mean = 66578.5	max = 176664
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.7%)
	1024	97.8%	(7.8%)
	2048	90%	(27.6%)
	4096	62.4%	(41.8%)
	8192	20.6%	(20.6%)
405000	mean = 66905	max = 175660
	128	100%	(0.1%)
	256	99.9%	(0.6%)
	512	99.3%	(1.3%)
	1024	98%	(8%)
	2048	90%	(27%)
	4096	63%	(41.8%)
	8192	21.2%	(21.2%)
406000	mean = 67473.1	max = 175360
	256	100%	(0.1%)
	512	99.9%	(1.2%)
	1024	98.7%	(5.5%)
	2048	93.2%	(31.6%)
	4096	61.6%	(40.5%)
	8192	21.1%	(21.1%)
407000	mean = 65799.2	max = 174892
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(0.2%)
	512	99.2%	(1.7%)
	1024	97.5%	(6%)
	2048	91.5%	(29.3%)
	4096	62.2%	(42.6%)
	8192	19.6%	(19.6%)
408000	mean = 64629.6	max = 177208
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.3%)
	512	99.5%	(1.8%)
	1024	97.7%	(7.9%)
	2048	89.8%	(28.6%)
	4096	61.2%	(42.3%)
	8192	18.9%	(18.9%)
409000	mean = 67045.5	max = 175700
	32	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(0.4%)
	512	99.3%	(2.2%)
	1024	97.1%	(6.6%)
	2048	90.5%	(29.1%)
	4096	61.4%	(39.9%)
	8192	21.5%	(21.5%)
410000	mean = 66669.2	max = 176912
	64	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.6%)
	1024	97.8%	(6.2%)
	2048	91.6%	(29.6%)
	4096	62%	(41.7%)
	8192	20.3%	(20.3%)
411000	mean = 66517.3	max = 174236
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.3%)
	1024	98%	(7.1%)
	2048	90.9%	(26.9%)
	4096	64%	(44.4%)
	8192	19.6%	(19.6%)
412000	mean = 67074.3	max = 176316
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(0.4%)
	512	99%	(1.6%)
	1024	97.4%	(7.2%)
	2048	90.2%	(28.4%)
	4096	61.8%	(40.9%)
	8192	20.9%	(20.9%)
413000	mean = 64937.5	max = 175284
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(2.7%)
	1024	96.9%	(6.6%)
	2048	90.3%	(29.1%)
	4096	61.2%	(42.8%)
	8192	18.4%	(18.4%)
414000	mean = 67049.2	max = 175288
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(1.9%)
	1024	97.7%	(6.3%)
	2048	91.4%	(27.2%)
	4096	64.2%	(43.7%)
	8192	20.5%	(20.5%)
415000	mean = 65973.8	max = 175640
	64	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2.3%)
	1024	97.3%	(6.8%)
	2048	90.5%	(28.1%)
	4096	62.4%	(42.5%)
	8192	19.9%	(19.9%)
416000	mean = 67712.9	max = 176748
	64	100%	(0.4%)
	256	99.6%	(0.6%)
	512	99%	(2.1%)
	1024	96.9%	(7.2%)
	2048	89.7%	(25.5%)
	4096	64.2%	(43.2%)
	8192	21%	(21%)
417000	mean = 65732.2	max = 227840
	32	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(0.1%)
	512	99.7%	(3%)
	1024	96.7%	(8.4%)
	2048	88.3%	(26.5%)
	4096	61.8%	(41.7%)
	8192	20.1%	(20%)
	16384	0.1%	(0.1%)
418000	mean = 68283.6	max = 176600
	256	100%	(0.2%)
	512	99.8%	(1.8%)
	1024	98%	(6%)
	2048	92%	(29.7%)
	4096	62.3%	(40.6%)
	8192	21.7%	(21.7%)
419000	mean = 68182.4	max = 177292
	64	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(1.8%)
	1024	97.4%	(6.4%)
	2048	91%	(26.8%)
	4096	64.2%	(41.6%)
	8192	22.6%	(22.6%)
420000	mean = 65559.7	max = 175776
	128	100%	(0.2%)
	256	99.8%	(0.4%)
	512	99.4%	(1.6%)
	1024	97.8%	(7.3%)
	2048	90.5%	(29.1%)
	4096	61.4%	(41.6%)
	8192	19.8%	(19.8%)
421000	mean = 66884.5	max = 172932
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.7%)
	1024	98%	(8%)
	2048	90%	(26.8%)
	4096	63.2%	(43%)
	8192	20.2%	(20.2%)
422000	mean = 66819.9	max = 175556
	128	100%	(0.1%)
	256	99.9%	(0.3%)
	512	99.6%	(2%)
	1024	97.6%	(6.1%)
	2048	91.5%	(29.9%)
	4096	61.6%	(40%)
	8192	21.6%	(21.6%)
423000	mean = 68138.7	max = 175896
	128	100%	(0.2%)
	256	99.8%	(0.5%)
	512	99.3%	(1.7%)
	1024	97.6%	(5.8%)
	2048	91.8%	(30.4%)
	4096	61.4%	(37.5%)
	8192	23.9%	(23.9%)
424000	mean = 66361.3	max = 175772
	256	100%	(0.3%)
	512	99.7%	(1.7%)
	1024	98%	(7.3%)
	2048	90.7%	(29.6%)
	4096	61.1%	(41.2%)
	8192	19.9%	(19.9%)
425000	mean = 64347.8	max = 175092
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.1%)
	256	99.7%	(0.9%)
	512	98.8%	(1.7%)
	1024	97.1%	(5.5%)
	2048	91.6%	(30.6%)
	4096	61%	(43.2%)
	8192	17.8%	(17.8%)
426000	mean = 69463.6	max = 177364
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.9%)
	1024	97.8%	(5.8%)
	2048	92%	(28%)
	4096	64%	(41.7%)
	8192	22.3%	(22.3%)
427000	mean = 67822.9	max = 200724
	64	100%	(0.2%)
	256	99.8%	(0.6%)
	512	99.2%	(2%)
	1024	97.2%	(6%)
	2048	91.2%	(27.1%)
	4096	64.1%	(42.8%)
	8192	21.3%	(21.3%)
428000	mean = 66343.2	max = 175388
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(2.4%)
	1024	97.2%	(7.1%)
	2048	90.1%	(29.3%)
	4096	60.8%	(40.1%)
	8192	20.7%	(20.7%)
429000	mean = 68328.5	max = 174936
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.6%)
	1024	98.1%	(7.1%)
	2048	91%	(28.9%)
	4096	62.1%	(39.2%)
	8192	22.9%	(22.9%)
430000	mean = 68634.7	max = 174776
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(1.7%)
	1024	97.8%	(6.5%)
	2048	91.3%	(27.2%)
	4096	64.1%	(41.3%)
	8192	22.8%	(22.8%)
431000	mean = 66230.8	max = 174712
	128	100%	(0.1%)
	256	99.9%	(0.5%)
	512	99.4%	(2.9%)
	1024	96.5%	(7.9%)
	2048	88.6%	(23.7%)
	4096	64.9%	(43.7%)
	8192	21.2%	(21.2%)
432000	mean = 65468.1	max = 176324
	128	100%	(0.2%)
	256	99.8%	(0.2%)
	512	99.6%	(1.2%)
	1024	98.4%	(7.4%)
	2048	91%	(30.6%)
	4096	60.4%	(40.1%)
	8192	20.3%	(20.3%)
433000	mean = 68425.1	max = 175672
	128	100%	(0.1%)
	256	99.9%	(0.7%)
	512	99.2%	(1.9%)
	1024	97.3%	(6.9%)
	2048	90.4%	(28.5%)
	4096	61.9%	(38.8%)
	8192	23.1%	(23.1%)
434000	mean = 67503.1	max = 175508
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(0.6%)
	512	98.9%	(1.5%)
	1024	97.4%	(7.8%)
	2048	89.6%	(25.5%)
	4096	64.1%	(42.2%)
	8192	21.9%	(21.9%)
435000	mean = 68585.5	max = 176984
	256	100%	(0.1%)
	512	99.9%	(2.1%)
	1024	97.8%	(7%)
	2048	90.8%	(25.1%)
	4096	65.7%	(44.3%)
	8192	21.4%	(21.4%)
436000	mean = 67866.7	max = 175924
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(0.2%)
	512	99.4%	(1.6%)
	1024	97.8%	(8.7%)
	2048	89.1%	(26.8%)
	4096	62.3%	(40.3%)
	8192	22%	(22%)
437000	mean = 69941.6	max = 176376
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	256	99.8%	(0.2%)
	512	99.6%	(1.9%)
	1024	97.7%	(7.1%)
	2048	90.6%	(25.5%)
	4096	65.1%	(41.6%)
	8192	23.5%	(23.5%)
438000	mean = 69407.7	max = 175252
	128	100%	(0.1%)
	256	99.9%	(0.2%)
	512	99.7%	(1.6%)
	1024	98.1%	(6.2%)
	2048	91.9%	(25.3%)
	4096	66.6%	(45%)
	8192	21.6%	(21.6%)
439000	mean = 69416.7	max = 241644
	128	100%	(0.2%)
	512	99.8%	(1.2%)
	1024	98.6%	(7.3%)
	2048	91.3%	(27.6%)
	4096	63.7%	(40.4%)
	8192	23.3%	(23.1%)
	16384	0.2%	(0.2%)
440000	mean = 67600	max = 173072
	128	100%	(0.2%)
	256	99.8%	(0.3%)
	512	99.5%	(2.1%)
	1024	97.4%	(6.4%)
	2048	91%	(26.6%)
	4096	64.4%	(43.9%)
	8192	20.5%	(20.5%)
441000	mean = 67607.8	max = 173400
	256	100%	(0.3%)
	512	99.7%	(2.1%)
	1024	97.6%	(8.3%)
	2048	89.3%	(26.4%)
	4096	62.9%	(41.4%)
	8192	21.5%	(21.5%)
442000	mean = 65309.9	max = 176492
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.4%)
	512	99.1%	(1.3%)
	1024	97.8%	(7.6%)
	2048	90.2%	(27.2%)
	4096	63%	(43.3%)
	8192	19.7%	(19.7%)
443000	mean = 68608.3	max = 177136
	32	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(0.1%)
	512	99.5%	(1.4%)
	1024	98.1%	(6.5%)
	2048	91.6%	(28.9%)
	4096	62.7%	(39.5%)
	8192	23.2%	(23.2%)
444000	mean = 66775.1	max = 174368
	32	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.5%)
	256	99.2%	(0.1%)
	512	99.1%	(2.1%)
	1024	97%	(7.2%)
	2048	89.8%	(27.1%)
	4096	62.7%	(41.9%)
	8192	20.8%	(20.8%)
445000	mean = 68667.1	max = 174244
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(0.2%)
	512	99.3%	(1.8%)
	1024	97.5%	(7.8%)
	2048	89.7%	(25.7%)
	4096	64%	(41.7%)
	8192	22.3%	(22.3%)
446000	mean = 69524.5	max = 174048
