<< TD learning for game 2048 >>
[hyper-parameter] alpha = 0.1
[hyper-parameter] total = 1000000
[hyper-parameter] seed  = 4191459678
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(5%)
	512	94.4%	(11.3%)
	1024	83.1%	(26.4%)
	2048	56.7%	(49.1%)
	4096	7.6%	(7.6%)
365000	mean = 23956.2	max = 73116
	128	100%	(1%)
	256	99%	(5.5%)
	512	93.5%	(12.6%)
	1024	80.9%	(27.7%)
	2048	53.2%	(46.2%)
	4096	7%	(7%)
366000	mean = 24292.8	max = 71508
	128	100%	(0.7%)
	256	99.3%	(4.7%)
	512	94.6%	(10.2%)
	1024	84.4%	(29.6%)
	2048	54.8%	(48.2%)
	4096	6.6%	(6.6%)
367000	mean = 25150.3	max = 80320
	64	100%	(0.3%)
	128	99.7%	(0.7%)
	256	99%	(4.5%)
	512	94.5%	(9.8%)
	1024	84.7%	(26.1%)
	2048	58.6%	(50.5%)
	4096	8.1%	(8.1%)
368000	mean = 25497.2	max = 75556
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(4.2%)
	512	95.5%	(10.4%)
	1024	85.1%	(26.7%)
	2048	58.4%	(50.3%)
	4096	8.1%	(8.1%)
369000	mean = 25393.7	max = 74932
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4.6%)
	512	94.8%	(11%)
	1024	83.8%	(27.8%)
	2048	56%	(46.7%)
	4096	9.3%	(9.3%)
370000	mean = 24588.3	max = 74488
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.4%)
	512	94.9%	(10%)
	1024	84.9%	(31%)
	2048	53.9%	(45.8%)
	4096	8.1%	(8.1%)
371000	mean = 24308.5	max = 71740
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(5.5%)
	512	94%	(13.4%)
	1024	80.6%	(28.4%)
	2048	52.2%	(43.2%)
	4096	9%	(9%)
372000	mean = 25589.1	max = 72916
	128	100%	(0.8%)
	256	99.2%	(4.6%)
	512	94.6%	(11.4%)
	1024	83.2%	(26.2%)
	2048	57%	(47%)
	4096	10%	(10%)
373000	mean = 24758.1	max = 78588
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(3.9%)
	512	95.6%	(12.8%)
	1024	82.8%	(29.3%)
	2048	53.5%	(44.6%)
	4096	8.9%	(8.9%)
374000	mean = 25545.8	max = 75996
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(5.7%)
	512	93.6%	(9.8%)
	1024	83.8%	(25.8%)
	2048	58%	(48.4%)
	4096	9.6%	(9.6%)
375000	mean = 25277.1	max = 72120
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.2%)
	256	99.6%	(4.6%)
	512	95%	(11.2%)
	1024	83.8%	(29%)
	2048	54.8%	(45.9%)
	4096	8.9%	(8.9%)
376000	mean = 24575.8	max = 80460
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(4.5%)
	512	94.5%	(13.5%)
	1024	81%	(26%)
	2048	55%	(46.4%)
	4096	8.6%	(8.6%)
377000	mean = 25319.1	max = 77688
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4%)
	512	95.5%	(10.8%)
	1024	84.7%	(29.1%)
	2048	55.6%	(46.5%)
	4096	9.1%	(9.1%)
378000	mean = 24714.2	max = 100180
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.8%)
	512	94.6%	(11.6%)
	1024	83%	(27.8%)
	2048	55.2%	(48%)
	4096	7.2%	(7.1%)
	8192	0.1%	(0.1%)
379000	mean = 25796.5	max = 72100
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(3.7%)
	512	95.7%	(11.3%)
	1024	84.4%	(26.9%)
	2048	57.5%	(47.6%)
	4096	9.9%	(9.9%)
380000	mean = 24922.8	max = 78432
	128	100%	(0.5%)
	256	99.5%	(4.8%)
	512	94.7%	(11.5%)
	1024	83.2%	(27.9%)
	2048	55.3%	(46.7%)
	4096	8.6%	(8.6%)
381000	mean = 24667.4	max = 74424
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.1%)
	512	95.1%	(11.9%)
	1024	83.2%	(29.4%)
	2048	53.8%	(45.6%)
	4096	8.2%	(8.2%)
382000	mean = 25140.8	max = 80136
	128	100%	(0.3%)
	256	99.7%	(3.4%)
	512	96.3%	(12.9%)
	1024	83.4%	(29.1%)
	2048	54.3%	(45.5%)
	4096	8.8%	(8.8%)
383000	mean = 25021.9	max = 74468
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.4%)
	512	94.8%	(11.9%)
	1024	82.9%	(25.9%)
	2048	57%	(48.6%)
	4096	8.4%	(8.4%)
384000	mean = 24127.8	max = 80660
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(5.1%)
	512	94.2%	(10.3%)
	1024	83.9%	(30.5%)
	2048	53.4%	(47.1%)
	4096	6.3%	(6.3%)
385000	mean = 25362.9	max = 80080
	128	100%	(0.7%)
	256	99.3%	(4.6%)
	512	94.7%	(11.9%)
	1024	82.8%	(26.4%)
	2048	56.4%	(47.2%)
	4096	9.2%	(9.2%)
386000	mean = 24811.9	max = 85244
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4.6%)
	512	94.5%	(11.5%)
	1024	83%	(28.8%)
	2048	54.2%	(45.4%)
	4096	8.8%	(8.8%)
387000	mean = 25307.1	max = 77276
	64	100%	(0.4%)
	128	99.6%	(0.5%)
	256	99.1%	(3.6%)
	512	95.5%	(10%)
	1024	85.5%	(29.5%)
	2048	56%	(47.1%)
	4096	8.9%	(8.9%)
388000	mean = 24192.5	max = 78580
	128	100%	(0.7%)
	256	99.3%	(4.7%)
	512	94.6%	(12.6%)
	1024	82%	(29.1%)
	2048	52.9%	(45.3%)
	4096	7.6%	(7.6%)
389000	mean = 25201.5	max = 78368
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(3.9%)
	512	95.2%	(11.9%)
	1024	83.3%	(26.2%)
	2048	57.1%	(49%)
	4096	8.1%	(8.1%)
390000	mean = 25158.6	max = 75040
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(3.7%)
	512	95.2%	(12.2%)
	1024	83%	(27.2%)
	2048	55.8%	(47.4%)
	4096	8.4%	(8.4%)
391000	mean = 25396.8	max = 76504
	128	100%	(0.6%)
	256	99.4%	(4.5%)
	512	94.9%	(12.2%)
	1024	82.7%	(25.6%)
	2048	57.1%	(48.3%)
	4096	8.8%	(8.8%)
392000	mean = 25359	max = 76900
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.7%)
	512	94.6%	(10.6%)
	1024	84%	(26.1%)
	2048	57.9%	(49.6%)
	4096	8.3%	(8.3%)
393000	mean = 25394.8	max = 78036
	128	100%	(0.6%)
	256	99.4%	(4.4%)
	512	95%	(10.6%)
	1024	84.4%	(27.7%)
	2048	56.7%	(47.9%)
	4096	8.8%	(8.8%)
394000	mean = 25670.3	max = 79500
	64	100%	(0.2%)
	128	99.8%	(1%)
	256	98.8%	(3.6%)
	512	95.2%	(12%)
	1024	83.2%	(25.4%)
	2048	57.8%	(48.4%)
	4096	9.4%	(9.4%)
395000	mean = 25211.9	max = 71520
	64	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.3%)
	512	96.4%	(11.9%)
	1024	84.5%	(27.5%)
	2048	57%	(48.8%)
	4096	8.2%	(8.2%)
396000	mean = 24966.7	max = 76172
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(4.2%)
	512	95.4%	(12.2%)
	1024	83.2%	(26.8%)
	2048	56.4%	(48.6%)
	4096	7.8%	(7.8%)
397000	mean = 25156.3	max = 74816
	128	100%	(0.8%)
	256	99.2%	(3.4%)
	512	95.8%	(12%)
	1024	83.8%	(27%)
	2048	56.8%	(48%)
	4096	8.8%	(8.8%)
398000	mean = 25014.1	max = 75736
	128	100%	(0.6%)
	256	99.4%	(4.3%)
	512	95.1%	(11.6%)
	1024	83.5%	(28.9%)
	2048	54.6%	(45.5%)
	4096	9.1%	(9.1%)
399000	mean = 25677.8	max = 76892
	128	100%	(0.3%)
	256	99.7%	(4.7%)
	512	95%	(10.4%)
	1024	84.6%	(28.3%)
	2048	56.3%	(46.3%)
	4096	10%	(10%)
400000	mean = 25334.1	max = 79188
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.9%)
	512	94.3%	(12%)
	1024	82.3%	(25.5%)
	2048	56.8%	(47.5%)
	4096	9.3%	(9.3%)
401000	mean = 24614.2	max = 76516
	128	100%	(0.5%)
	256	99.5%	(5%)
	512	94.5%	(11.4%)
	1024	83.1%	(29.2%)
	2048	53.9%	(45.6%)
	4096	8.3%	(8.3%)
402000	mean = 25650.1	max = 70716
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(1%)
	256	98.8%	(4.2%)
	512	94.6%	(9.8%)
	1024	84.8%	(26.4%)
	2048	58.4%	(49%)
	4096	9.4%	(9.4%)
403000	mean = 25424.6	max = 74316
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.5%)
	512	94.7%	(12.5%)
	1024	82.2%	(27.5%)
	2048	54.7%	(44.7%)
	4096	10%	(10%)
404000	mean = 24984.8	max = 76792
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.3%)
	512	96%	(10.4%)
	1024	85.6%	(30.3%)
	2048	55.3%	(47.1%)
	4096	8.2%	(8.2%)
405000	mean = 25820.6	max = 75476
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.3%)
	512	95.9%	(10.8%)
	1024	85.1%	(26.9%)
	2048	58.2%	(48.8%)
	4096	9.4%	(9.4%)
406000	mean = 24805.1	max = 71680
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4%)
	512	95.5%	(11.8%)
	1024	83.7%	(29.4%)
	2048	54.3%	(46%)
	4096	8.3%	(8.3%)
407000	mean = 24791.7	max = 79172
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.1%)
	512	95.2%	(12.3%)
	1024	82.9%	(28.3%)
	2048	54.6%	(45.9%)
	4096	8.7%	(8.7%)
408000	mean = 24713.6	max = 72776
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(6%)
	512	92.9%	(10.1%)
	1024	82.8%	(30.1%)
	2048	52.7%	(43.1%)
	4096	9.6%	(9.6%)
409000	mean = 24362.2	max = 71440
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(5.3%)
	512	93.7%	(12.1%)
	1024	81.6%	(27.8%)
	2048	53.8%	(45.4%)
	4096	8.4%	(8.4%)
410000	mean = 26014.5	max = 80460
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(4.5%)
	512	95.1%	(10.2%)
	1024	84.9%	(26.9%)
	2048	58%	(47.8%)
	4096	10.2%	(10.2%)
411000	mean = 25738.5	max = 77948
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.3%)
	512	95.2%	(11.8%)
	1024	83.4%	(25.4%)
	2048	58%	(48%)
	4096	10%	(10%)
412000	mean = 25682.1	max = 78380
	128	100%	(1.1%)
	256	98.9%	(4.7%)
	512	94.2%	(11.2%)
	1024	83%	(27.1%)
	2048	55.9%	(44.6%)
	4096	11.3%	(11.3%)
413000	mean = 25542.4	max = 79976
	128	100%	(0.4%)
	256	99.6%	(3.9%)
	512	95.7%	(11.5%)
	1024	84.2%	(26.7%)
	2048	57.5%	(48.7%)
	4096	8.8%	(8.8%)
414000	mean = 25900.4	max = 80568
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.6%)
	256	99.2%	(4.5%)
	512	94.7%	(12.6%)
	1024	82.1%	(24.8%)
	2048	57.3%	(46.6%)
	4096	10.7%	(10.7%)
415000	mean = 24802.8	max = 78288
	128	100%	(0.8%)
	256	99.2%	(4.3%)
	512	94.9%	(11%)
	1024	83.9%	(29.1%)
	2048	54.8%	(46.9%)
	4096	7.9%	(7.9%)
416000	mean = 25492.6	max = 77244
	64	100%	(0.1%)
	128	99.9%	(0.4%)
	256	99.5%	(4.6%)
	512	94.9%	(10.9%)
	1024	84%	(27.5%)
	2048	56.5%	(47.5%)
	4096	9%	(9%)
417000	mean = 25435.7	max = 79044
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3.3%)
	512	95.9%	(11.7%)
	1024	84.2%	(26.8%)
	2048	57.4%	(48.4%)
	4096	9%	(9%)
418000	mean = 25215.3	max = 74784
	64	100%	(0.2%)
	128	99.8%	(0.3%)
	256	99.5%	(4.1%)
	512	95.4%	(12.8%)
	1024	82.6%	(27.5%)
	2048	55.1%	(45%)
	4096	10.1%	(10.1%)
419000	mean = 25664	max = 76968
	16	100%	(0.1%)
	64	99.9%	(0.2%)
	128	99.7%	(0.7%)
	256	99%	(4.9%)
	512	94.1%	(12.5%)
	1024	81.6%	(25.6%)
	2048	56%	(45.4%)
	4096	10.6%	(10.6%)
420000	mean = 25471.3	max = 80192
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(4.1%)
	512	95%	(11.3%)
	1024	83.7%	(27.2%)
	2048	56.5%	(46.7%)
	4096	9.8%	(9.8%)
421000	mean = 24990.2	max = 79888
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.8%)
	512	95.5%	(11.1%)
	1024	84.4%	(29.1%)
	2048	55.3%	(46.9%)
	4096	8.4%	(8.4%)
422000	mean = 25491.4	max = 77948
	128	100%	(0.5%)
	256	99.5%	(4.5%)
	512	95%	(10.5%)
	1024	84.5%	(27.6%)
	2048	56.9%	(47.8%)
	4096	9.1%	(9.1%)
423000	mean = 25183.1	max = 76272
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(5.7%)
	512	93.6%	(11.7%)
	1024	81.9%	(25.9%)
	2048	56%	(45.9%)
	4096	10.1%	(10.1%)
424000	mean = 25279	max = 79340
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(5%)
	512	94.6%	(11.3%)
	1024	83.3%	(28.1%)
	2048	55.2%	(45.8%)
	4096	9.4%	(9.4%)
425000	mean = 26056.4	max = 74504
	128	100%	(0.5%)
	256	99.5%	(5.2%)
	512	94.3%	(10.4%)
	1024	83.9%	(26.7%)
	2048	57.2%	(46.3%)
	4096	10.9%	(10.9%)
426000	mean = 26402.8	max = 74888
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(3.9%)
	512	95.7%	(10.3%)
	1024	85.4%	(26%)
	2048	59.4%	(48.3%)
	4096	11.1%	(11.1%)
427000	mean = 25730.2	max = 79544
	128	100%	(0.9%)
	256	99.1%	(4.6%)
	512	94.5%	(11.1%)
	1024	83.4%	(25.8%)
	2048	57.6%	(47.7%)
	4096	9.9%	(9.9%)
428000	mean = 25615	max = 75608
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(4%)
	512	95.4%	(12%)
	1024	83.4%	(27.5%)
	2048	55.9%	(45.7%)
	4096	10.2%	(10.2%)
429000	mean = 26172	max = 85192
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.6%)
	512	95.7%	(11.2%)
	1024	84.5%	(26.7%)
	2048	57.8%	(46.5%)
	4096	11.3%	(11.3%)
430000	mean = 25494.5	max = 77496
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.4%)
	512	94.9%	(12%)
	1024	82.9%	(24.8%)
	2048	58.1%	(49.2%)
	4096	8.9%	(8.9%)
431000	mean = 26303	max = 76836
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(3.8%)
	512	95.5%	(9.8%)
	1024	85.7%	(26.4%)
	2048	59.3%	(48.6%)
	4096	10.7%	(10.7%)
432000	mean = 25583	max = 107472
	64	100%	(0.1%)
	128	99.9%	(0.8%)
	256	99.1%	(3.7%)
	512	95.4%	(12.5%)
	1024	82.9%	(25.9%)
	2048	57%	(47.5%)
	4096	9.5%	(9.4%)
	8192	0.1%	(0.1%)
433000	mean = 25148	max = 78568
	64	100%	(0.3%)
	128	99.7%	(0.3%)
	256	99.4%	(4.3%)
	512	95.1%	(10.8%)
	1024	84.3%	(28.6%)
	2048	55.7%	(47%)
	4096	8.7%	(8.7%)
434000	mean = 25465.9	max = 74060
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(3.5%)
	512	95.8%	(11.2%)
	1024	84.6%	(28.2%)
	2048	56.4%	(47%)
	4096	9.4%	(9.4%)
435000	mean = 25935.3	max = 71936
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.8%)
	512	94.5%	(10.4%)
	1024	84.1%	(27.2%)
	2048	56.9%	(45.9%)
	4096	11%	(11%)
436000	mean = 26442.3	max = 76496
	64	100%	(0.4%)
	128	99.6%	(0.5%)
	256	99.1%	(3.6%)
	512	95.5%	(10.2%)
	1024	85.3%	(26.5%)
	2048	58.8%	(47.9%)
	4096	10.9%	(10.9%)
437000	mean = 25596.4	max = 79524
	128	100%	(0.8%)
	256	99.2%	(4.1%)
	512	95.1%	(10.6%)
	1024	84.5%	(26.8%)
	2048	57.7%	(49%)
	4096	8.7%	(8.7%)
438000	mean = 25966.9	max = 81760
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.7%)
	512	94.7%	(11.7%)
	1024	83%	(27.5%)
	2048	55.5%	(43.4%)
	4096	12.1%	(12.1%)
439000	mean = 26083.6	max = 77164
	128	100%	(0.9%)
	256	99.1%	(4.2%)
	512	94.9%	(9.9%)
	1024	85%	(27.8%)
	2048	57.2%	(46%)
	4096	11.2%	(11.2%)
440000	mean = 26066.4	max = 78756
	128	100%	(0.3%)
	256	99.7%	(4.2%)
	512	95.5%	(11.7%)
	1024	83.8%	(26.5%)
	2048	57.3%	(46.1%)
	4096	11.2%	(11.2%)
441000	mean = 25497.7	max = 81296
	128	100%	(0.6%)
	256	99.4%	(4.6%)
	512	94.8%	(12.8%)
	1024	82%	(25.4%)
	2048	56.6%	(46.7%)
	4096	9.9%	(9.9%)
442000	mean = 26142.5	max = 78796
	64	100%	(0.2%)
	128	99.8%	(0.5%)
	256	99.3%	(4.5%)
	512	94.8%	(10.8%)
	1024	84%	(24.7%)
	2048	59.3%	(50.4%)
	4096	8.9%	(8.9%)
443000	mean = 26188.3	max = 76488
	64	100%	(0.3%)
	128	99.7%	(1%)
	256	98.7%	(2.7%)
	512	96%	(11.6%)
	1024	84.4%	(26.1%)
	2048	58.3%	(46.4%)
	4096	11.9%	(11.9%)
444000	mean = 26332	max = 80068
	64	100%	(0.2%)
	128	99.8%	(0.9%)
	256	98.9%	(3.8%)
	512	95.1%	(9.4%)
	1024	85.7%	(24.8%)
	2048	60.9%	(50.7%)
	4096	10.2%	(10.2%)
445000	mean = 26077.8	max = 79604
	64	100%	(0.1%)
	128	99.9%	(0.6%)
	256	99.3%	(4.9%)
	512	94.4%	(10.9%)
	1024	83.5%	(25.5%)
	2048	58%	(46.6%)
	4096	11.4%	(11.4%)
446000	mean = 26245.7	max = 80424
	64	100%	(0.3%)
	128	99.7%	(0.2%)
	256	99.5%	(4.8%)
	512	94.7%	(11.6%)
	1024	83.1%	(23%)
	2048	60.1%	(49.4%)
	4096	10.7%	(10.7%)
447000	mean = 25878	max = 72288
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.2%)
	512	95.2%	(10.1%)
	1024	85.1%	(25.8%)
	2048	59.3%	(49.7%)
	4096	9.6%	(9.6%)
448000	mean = 25838	max = 74496
	64	100%	(0.2%)
	128	99.8%	(0.7%)
	256	99.1%	(3%)
	512	96.1%	(13.1%)
	1024	83%	(24.8%)
	2048	58.2%	(47.9%)
	4096	10.3%	(10.3%)
449000	mean = 26176.4	max = 80112
	64	100%	(0.2%)
	128	99.8%	(0.2%)
	256	99.6%	(4.7%)
	512	94.9%	(11.4%)
	1024	83.5%	(26.2%)
	2048	57.3%	(46.5%)
	4096	10.8%	(10.8%)
450000	mean = 24944.3	max = 80004
	64	100%	(0.3%)
	128	99.7%	(0.8%)
	256	98.9%	(4.4%)
	512	94.5%	(11%)
	1024	83.5%	(27.5%)
	2048	56%	(47.6%)
	4096	8.4%	(8.4%)
451000	mean = 25756.7	max = 75032
	64	100%	(0.3%)
	128	99.7%	(0.5%)
	256	99.2%	(4.2%)
	512	95%	(11.3%)
	1024	83.7%	(26.4%)
	2048	57.3%	(46.6%)
	4096	10.7%	(10.7%)
452000	mean = 26407.2	max = 80900
	128	100%	(0.4%)
	256	99.6%	(4.2%)
	512	95.4%	(9.1%)
	1024	86.3%	(26.7%)
	2048	59.6%	(48.9%)
	4096	10.7%	(10.7%)
453000	mean = 26065.6	max = 78396
	32	100%	(0.1%)
	64	99.9%	(0.1%)
	128	99.8%	(0.6%)
	256	99.2%	(4%)
	512	95.2%	(10.6%)
	1024	84.6%	(28.8%)
	2048	55.8%	(44.9%)
	4096	10.9%	(10.9%)
454000	mean = 26609.9	max = 103924
	128	100%	(0.2%)
	256	99.8%	(3.6%)
	512	96.2%	(11.8%)
	1024	84.4%	(25.4%)
	2048	59%	(47.3%)
	4096	11.7%	(11.5%)
	8192	0.2%	(0.2%)
455000	mean = 26828.8	max = 76428
	16	100%	(0.1%)
	128	99.9%	(0.2%)
	256	99.7%	(3.7%)
	512	96%	(10.6%)
	1024	85.4%	(26.6%)
	2048	58.8%	(47%)
	4096	11.8%	(11.8%)
456000	mean = 26280.1	max = 78856
	128	100%	(0.8%)
	256	99.2%	(4.5%)
	512	94.7%	(9.9%)
	1024	84.8%	(24.6%)
	2048	60.2%	(50.4%)
	4096	9.8%	(9.8%)
457000	mean = 26382.6	max = 80156
	128	100%	(0.5%)
	256	99.5%	(3.5%)
	512	96%	(10.7%)
	1024	85.3%	(24.8%)
	2048	60.5%	(49.5%)
	4096	11%	(11%)
458000	mean = 25914.3	max = 76612
	128	100%	(0.3%)
	256	99.7%	(5%)
	512	94.7%	(12.2%)
	1024	82.5%	(25%)
	2048	57.5%	(46.1%)
	4096	11.4%	(11.4%)
459000	mean = 25875.5	max = 77864
	128	100%	(0.4%)
	256	99.6%	(4.4%)
	512	95.2%	(13%)
	1024	82.2%	(25%)
	2048	57.2%	(47.1%)
	4096	10.1%	(10.1%)
460000	mean = 26570.5	max = 85828
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4.6%)
	512	94.6%	(11.7%)
	1024	82.9%	(24.4%)
	2048	58.5%	(45.7%)
	4096	12.8%	(12.8%)
461000	mean = 26485.5	max = 79884
	64	100%	(0.2%)
	128	99.8%	(0.4%)
	256	99.4%	(4%)
	512	95.4%	(8.1%)
	1024	87.3%	(28%)
	2048	59.3%	(48.9%)
	4096	10.4%	(10.4%)
462000	mean = 26106.8	max = 76616
	128	100%	(0.8%)
	256	99.2%	(3.8%)
	512	95.4%	(10.8%)
	1024	84.6%	(27.6%)
	2048	57%	(45.7%)
	4096	11.3%	(11.3%)
463000	mean = 26844.1	max = 80340
	128	100%	(0.4%)
	256	99.6%	(3.4%)
	512	96.2%	(10.6%)
	1024	85.6%	(26.3%)
	2048	59.3%	(47.1%)
	4096	12.2%	(12.2%)
464000	mean = 26550.2	max = 78256
	64	100%	(0.3%)
	128	99.7%	(0.6%)
	256	99.1%	(3.7%)
	512	95.4%	(11.4%)
	1024	84%	(26.1%)
	2048	57.9%	(46.1%)
	4096	11.8%	(11.8%)
465000	mean = 26470.1	max = 80708
	128	100%	(0.1%)
	256	99.9%	(4.5%)
	512	95.4%	(12.1%)
	1024	83.3%	(22.8%)
	2048	60.5%	(49.2%)
	4096	11.3%	(11.3%)
466000	mean = 26676.8	max = 79948
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(4.6%)
	512	94.6%	(11.7%)
	1024	82.9%	(24.7%)
	2048	58.2%	(45.8%)
	4096	12.4%	(12.4%)
467000	mean = 25758.6	max = 90624
	64	100%	(0.2%)
	128	99.8%	(0.6%)
	256	99.2%	(4%)
	512	95.2%	(13.6%)
	1024	81.6%	(25.5%)
	2048	56.1%	(45.5%)
	4096	10.6%	(10.6%)
468000	mean = 26468.1	max = 80032
	128	100%	(0.3%)
	256	99.7%	(5.1%)
	512	94.6%	(9.9%)
	1024	84.7%	(26.7%)
	2048	58%	(46%)
	4096	12%	(12%)
469000	mean = 26490.9	max = 76516
	64	100%	(0.1%)
	128	99.9%	(0.3%)
	256	99.6%	(4.1%)
	512	95.5%	(12.4%)
	1024	83.1%	(23.7%)
	2048	59.4%	(48.5%)
	4096	10.9%	(10.9%)
470000	mean = 26891.7	max = 79068
	64	100%	(0.3%)
	128	99.7%	(0.4%)
	256	99.3%	(4.6%)
	512	94.7%	(9.3%)
	1024	85.4%	(25.1%)
	2048	60.3%	(48.1%)
	4096	12.2%	(12.2%)
471000	mean = 26001.7	max = 79500
	128	100%	(0.1%)
	256	99.9%	(4.2%)
	512	95.7%	(11.5%)
	1024	84.2%	(25.9%)
	2048	58.3%	(47.3%)
	4096	11%	(11%)
472000	mean = 26501.6	max = 77532
	64	100%	(0.1%)
	128	99.9%	(0.7%)
	256	99.2%	(3%)
	512	96.2%	(11.3%)
	1024	84.9%	(26.4%)
	2048	58.5%	(47.7%)
	4096	10.8%	(10.8%)
473000	mean = 26536.3	max = 80004
	64	100%	(0.4%)
	128	99.6%	(0.5%)
	256	99.1%	(3.8%)
	512	95.3%	(10.8%)
	1024	84.5%	(25.8%)
	2048	58.7%	(47%)
	4096	11.7%	(11.7%)
474000	mean = 27102.2	max = 79892
	128	100%	(0.5%)
	256	99.5%	(4.6%)
	512	94.9%	(10%)
	1024	84.9%	(23.6%)
	2048	61.3%	(49.4%)
	4096	11.9%	(11.9%)
475000	mean = 26043.9	max = 80312
	128	100%	(1%)
	256	99%	(5%)
	512	94%	(10.1%)
	1024	83.9%	(25.5%)
	2048	58.4%	(47.3%)
	4096	11.1%	(11.1%)
476000	mean = 26169.9	max = 80856
	128	100%	(0.5%)
	256	99.5%	(3.8%)
	512	95.7%	(13%)
	1024	82.7%	(24.6%)
	2048	58.1%	(46.3%)
	4096	11.8%	(11.8%)
477000	mean = 26231.8	max = 80360
	64	100%	(0.1%)
	128	99.9%	(0.1%)
	256	99.8%	(4.2%)
	512	95.6%	(12.3%)
	1024	83.3%	(26.4%)
	2048	56.9%	(44.4%)
	4096	12.5%	(12.5%)
478000	mean = 26548.4	max = 76156
	64	100%	(0.1%)
	128	99.9%	(0.9%)
	256	99%	(4.6%)
	512	94.4%	(10.6%)
	1024	83.8%	(23.4%)
	2048	60.4%	(48.6%)
	4096	11.8%	(11.8%)
479000	mean = 27081.5	max = 79812
	64	100%	(0.1%)
	128	99.9%	(0.5%)
	256	99.4%	(4.6%)
	512	94.8%	(10.3%)
	1024	84.5%	(24.3%)
	2048	60.2%	(47.5%)
	4096	12.7%	(12.7%)
480000	mean = 25729.5	max = 75868
	32	100%	(0.1%)
	64	99.9%	(0.3%)
	128	99.6%	(0.3%)
	256	99.3%	(4.6%)
	512	94.7%	(10.5%)
	1024	84.2%	(26.5%)
	2048	57.7%	(48%)
	4096	9.7%	(9.7%)
481000	mean = 25650.3	max = 73928
	128	100%	(0.6%)
	256	99.4%	(4.5%)
	512	94.9%	(12.1%)
	1024	82.8%	(26.2%)
	2048	56.6%	(46.2%)
	4096	10.4%	(10.4%)
482000	mean = 26201	max = 78508
	128	100%	(0.3%)
